2026/08/17 00:32:39.831, 0 %, 0 %, 0 MiB, 46068 MiB, 39, 34.53 W, 210 MHz, 405 MHz
2026/08/17 00:32:44.901, 0 %, 0 %, 0 MiB, 46068 MiB, 38, 34.31 W, 210 MHz, 405 MHz
2026/08/17 00:32:49.954, 0 %, 0 %, 0 MiB, 46068 MiB, 38, 34.58 W, 210 MHz, 405 MHz
2026/08/17 00:32:55.025, 0 %, 0 %, 0 MiB, 46068 MiB, 38, 34.42 W, 210 MHz, 405 MHz
2026/08/17 00:33:00.094, 0 %, 0 %, 0 MiB, 46068 MiB, 37, 34.40 W, 210 MHz, 405 MHz
2026/08/17 00:33:05.164, 0 %, 0 %, 0 MiB, 46068 MiB, 37, 34.35 W, 210 MHz, 405 MHz
2026/08/17 00:33:10.261, 0 %, 0 %, 0 MiB, 46068 MiB, 37, 34.51 W, 210 MHz, 405 MHz
2026/08/17 00:33:15.333, 0 %, 0 %, 0 MiB, 46068 MiB, 37, 43.29 W, 1080 MHz, 810 MHz
2026/08/17 00:33:20.384, 0 %, 0 %, 0 MiB, 46068 MiB, 37, 34.59 W, 210 MHz, 405 MHz
2026/08/17 00:33:25.438, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.42 W, 210 MHz, 405 MHz
2026/08/17 00:33:30.493, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.48 W, 210 MHz, 405 MHz
2026/08/17 00:33:35.567, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.38 W, 210 MHz, 405 MHz
2026/08/17 00:33:40.640, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.38 W, 210 MHz, 405 MHz
2026/08/17 00:33:45.709, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.36 W, 210 MHz, 405 MHz
2026/08/17 00:33:50.796, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.32 W, 210 MHz, 405 MHz
2026/08/17 00:33:55.909, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.30 W, 210 MHz, 405 MHz
2026/08/17 00:34:00.963, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.39 W, 210 MHz, 405 MHz
2026/08/17 00:34:06.014, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.14 W, 210 MHz, 405 MHz
2026/08/17 00:34:11.090, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.19 W, 210 MHz, 405 MHz
2026/08/17 00:34:16.162, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.22 W, 210 MHz, 405 MHz
2026/08/17 00:34:21.237, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.25 W, 210 MHz, 405 MHz
2026/08/17 00:34:26.309, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.23 W, 210 MHz, 405 MHz
2026/08/17 00:34:31.361, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.34 W, 210 MHz, 405 MHz
2026/08/17 00:34:36.415, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.28 W, 210 MHz, 405 MHz
2026/08/17 00:34:41.467, 0 %, 0 %, 19763 MiB, 46068 MiB, 38, 106.89 W, 1800 MHz, 7601 MHz
2026/08/17 00:34:46.519, 26 %, 1 %, 19793 MiB, 46068 MiB, 39, 108.92 W, 1800 MHz, 7601 MHz
2026/08/17 00:34:51.569, 0 %, 0 %, 42421 MiB, 46068 MiB, 43, 182.05 W, 1920 MHz, 7601 MHz
2026/08/17 00:34:56.651, 94 %, 62 %, 43571 MiB, 46068 MiB, 49, 292.76 W, 1440 MHz, 7601 MHz
2026/08/17 00:35:01.721, 81 %, 53 %, 43573 MiB, 46068 MiB, 52, 287.55 W, 1440 MHz, 7601 MHz
2026/08/17 00:35:06.776, 46 %, 30 %, 43575 MiB, 46068 MiB, 53, 261.14 W, 1860 MHz, 7601 MHz
2026/08/17 00:35:11.829, 85 %, 57 %, 43575 MiB, 46068 MiB, 57, 281.64 W, 1440 MHz, 7601 MHz
2026/08/17 00:35:16.883, 82 %, 64 %, 43577 MiB, 46068 MiB, 58, 290.57 W, 1455 MHz, 7601 MHz
2026/08/17 00:35:21.935, 78 %, 62 %, 43579 MiB, 46068 MiB, 60, 286.32 W, 1440 MHz, 7601 MHz
2026/08/17 00:35:27.011, 69 %, 28 %, 43693 MiB, 46068 MiB, 60, 278.71 W, 1635 MHz, 7601 MHz
2026/08/17 00:35:32.083, 88 %, 63 %, 43695 MiB, 46068 MiB, 63, 290.02 W, 1410 MHz, 7601 MHz
2026/08/17 00:35:37.136, 98 %, 61 %, 43697 MiB, 46068 MiB, 64, 288.53 W, 1575 MHz, 7601 MHz
2026/08/17 00:35:42.211, 79 %, 66 %, 43697 MiB, 46068 MiB, 65, 278.61 W, 1425 MHz, 7601 MHz
2026/08/17 00:35:47.282, 100 %, 65 %, 43699 MiB, 46068 MiB, 67, 292.01 W, 1410 MHz, 7601 MHz
2026/08/17 00:35:52.333, 0 %, 0 %, 0 MiB, 46068 MiB, 63, 151.72 W, 1905 MHz, 7601 MHz
2026/08/17 00:35:57.383, 0 %, 0 %, 0 MiB, 46068 MiB, 57, 39.50 W, 210 MHz, 405 MHz
2026/08/17 00:36:02.452, 0 %, 0 %, 0 MiB, 46068 MiB, 55, 37.62 W, 210 MHz, 405 MHz
2026/08/17 00:36:07.538, 0 %, 0 %, 0 MiB, 46068 MiB, 53, 36.99 W, 210 MHz, 405 MHz
2026/08/17 00:36:12.639, 0 %, 0 %, 0 MiB, 46068 MiB, 52, 36.41 W, 210 MHz, 405 MHz
2026/08/17 00:36:17.741, 0 %, 0 %, 0 MiB, 46068 MiB, 50, 35.74 W, 210 MHz, 405 MHz
2026/08/17 00:36:22.815, 0 %, 0 %, 0 MiB, 46068 MiB, 48, 35.46 W, 210 MHz, 405 MHz
2026/08/17 00:36:27.877, 0 %, 0 %, 0 MiB, 46068 MiB, 47, 35.09 W, 210 MHz, 405 MHz
2026/08/17 00:36:32.931, 0 %, 0 %, 0 MiB, 46068 MiB, 46, 34.82 W, 210 MHz, 405 MHz
2026/08/17 00:36:38.012, 0 %, 0 %, 0 MiB, 46068 MiB, 45, 34.62 W, 210 MHz, 405 MHz
2026/08/17 00:36:43.083, 0 %, 0 %, 0 MiB, 46068 MiB, 44, 34.62 W, 210 MHz, 405 MHz
2026/08/17 00:36:48.133, 0 %, 0 %, 0 MiB, 46068 MiB, 43, 34.66 W, 210 MHz, 405 MHz
2026/08/17 00:36:53.185, 2 %, 0 %, 19763 MiB, 46068 MiB, 47, 115.23 W, 1800 MHz, 7601 MHz
2026/08/17 00:36:58.238, 25 %, 1 %, 19793 MiB, 46068 MiB, 48, 124.32 W, 1920 MHz, 7601 MHz
2026/08/17 00:37:03.290, 0 %, 0 %, 42425 MiB, 46068 MiB, 51, 147.28 W, 1935 MHz, 7601 MHz
2026/08/17 00:37:08.342, 100 %, 82 %, 43571 MiB, 46068 MiB, 56, 292.27 W, 1440 MHz, 7601 MHz
2026/08/17 00:37:13.415, 99 %, 79 %, 43573 MiB, 46068 MiB, 59, 292.44 W, 1440 MHz, 7601 MHz
2026/08/17 00:37:18.494, 100 %, 74 %, 43575 MiB, 46068 MiB, 61, 289.42 W, 1425 MHz, 7601 MHz
2026/08/17 00:37:23.597, 99 %, 71 %, 43577 MiB, 46068 MiB, 62, 294.02 W, 1440 MHz, 7601 MHz
2026/08/17 00:37:28.662, 96 %, 59 %, 43579 MiB, 46068 MiB, 64, 294.62 W, 1545 MHz, 7601 MHz
2026/08/17 00:37:33.716, 100 %, 63 %, 43579 MiB, 46068 MiB, 65, 298.30 W, 1440 MHz, 7601 MHz
2026/08/17 00:37:38.771, 100 %, 64 %, 43693 MiB, 46068 MiB, 66, 296.28 W, 1650 MHz, 7601 MHz
2026/08/17 00:37:43.822, 99 %, 64 %, 43697 MiB, 46068 MiB, 67, 296.65 W, 1410 MHz, 7601 MHz
2026/08/17 00:37:48.874, 99 %, 56 %, 43699 MiB, 46068 MiB, 69, 289.62 W, 1710 MHz, 7601 MHz
2026/08/17 00:37:53.942, 92 %, 56 %, 43701 MiB, 46068 MiB, 68, 278.29 W, 1425 MHz, 7601 MHz
2026/08/17 00:37:59.005, 99 %, 70 %, 43701 MiB, 46068 MiB, 69, 294.58 W, 1485 MHz, 7601 MHz
2026/08/17 00:38:04.064, 87 %, 61 %, 43703 MiB, 46068 MiB, 70, 289.29 W, 1575 MHz, 7601 MHz
2026/08/17 00:38:09.115, 99 %, 70 %, 43703 MiB, 46068 MiB, 70, 295.90 W, 1485 MHz, 7601 MHz
2026/08/17 00:38:14.167, 99 %, 71 %, 43707 MiB, 46068 MiB, 71, 297.95 W, 1395 MHz, 7601 MHz
2026/08/17 00:38:19.221, 100 %, 60 %, 43709 MiB, 46068 MiB, 71, 288.00 W, 1695 MHz, 7601 MHz
2026/08/17 00:38:24.281, 98 %, 52 %, 43711 MiB, 46068 MiB, 70, 286.30 W, 1425 MHz, 7601 MHz
2026/08/17 00:38:29.339, 100 %, 63 %, 43711 MiB, 46068 MiB, 70, 293.90 W, 1395 MHz, 7601 MHz
2026/08/17 00:38:34.391, 95 %, 58 %, 43713 MiB, 46068 MiB, 71, 293.48 W, 1395 MHz, 7601 MHz
2026/08/17 00:38:39.447, 91 %, 55 %, 43715 MiB, 46068 MiB, 71, 292.61 W, 1410 MHz, 7601 MHz
2026/08/17 00:38:44.501, 100 %, 59 %, 43717 MiB, 46068 MiB, 71, 296.02 W, 1440 MHz, 7601 MHz
2026/08/17 00:38:49.557, 100 %, 62 %, 43717 MiB, 46068 MiB, 71, 297.88 W, 1395 MHz, 7601 MHz
2026/08/17 00:38:54.622, 100 %, 77 %, 43721 MiB, 46068 MiB, 72, 294.33 W, 1395 MHz, 7601 MHz
2026/08/17 00:38:59.715, 99 %, 66 %, 43723 MiB, 46068 MiB, 72, 291.83 W, 1695 MHz, 7601 MHz
2026/08/17 00:39:04.784, 91 %, 52 %, 43725 MiB, 46068 MiB, 72, 293.27 W, 1395 MHz, 7601 MHz
2026/08/17 00:39:09.861, 99 %, 71 %, 43727 MiB, 46068 MiB, 72, 289.08 W, 1395 MHz, 7601 MHz
2026/08/17 00:39:14.922, 100 %, 73 %, 43727 MiB, 46068 MiB, 72, 261.62 W, 1410 MHz, 7601 MHz
2026/08/17 00:39:19.974, 90 %, 56 %, 43729 MiB, 46068 MiB, 72, 296.10 W, 1395 MHz, 7601 MHz
2026/08/17 00:39:25.048, 99 %, 71 %, 43729 MiB, 46068 MiB, 72, 296.24 W, 1395 MHz, 7601 MHz
