timestamp_iso,container,cpu_pct,mem_usage,mem_pct,net_io,block_io,pids
2026-08-24T12:58:50+00:00,happy_borg,100.35%,2.041GiB / 235.8GiB,0.87%,806B / 126B,0B / 94.2kB,5
2026-08-24T13:11:13+00:00,angry_williams,10.50%,3.172MiB / 235.8GiB,0.00%,45.4MB / 1.02MB,0B / 0B,11
2026-08-24T13:11:24+00:00,angry_williams,1.03%,3.773MiB / 235.8GiB,0.00%,76.4MB / 11.4MB,0B / 0B,12
2026-08-24T13:13:55+00:00,vmemoryfabric-osx-dev-run-414b9574d2f3,118.66%,676.8MiB / 235.8GiB,0.28%,876B / 126B,0B / 69.1kB,26
2026-08-24T13:15:31+00:00,vmemoryfabric-osx-dev-run-fbb5ff4edf3a,801.41%,940.8MiB / 235.8GiB,0.39%,806B / 126B,0B / 87.6kB,22
2026-08-24T13:16:29+00:00,vmemoryfabric-osx-dev-run-ffe168dce349,801.40%,946.9MiB / 235.8GiB,0.39%,806B / 126B,0B / 69.1kB,24
2026-08-24T13:19:22+00:00,vmemoryfabric-osx-dev-run-2dfcfc1122bc,150.79%,273.3MiB / 235.8GiB,0.11%,736B / 126B,0B / 971kB,27
2026-08-24T13:19:33+00:00,vmemoryfabric-osx-dev-run-2dfcfc1122bc,100.85%,272.8MiB / 235.8GiB,0.11%,876B / 126B,0B / 1.43MB,22
2026-08-24T13:19:44+00:00,vmemoryfabric-osx-dev-run-2dfcfc1122bc,133.81%,786.9MiB / 235.8GiB,0.33%,876B / 126B,0B / 1.43MB,26
2026-08-24T13:19:55+00:00,vmemoryfabric-osx-dev-run-2dfcfc1122bc,100.16%,1.245GiB / 235.8GiB,0.53%,946B / 126B,0B / 1.63MB,27
2026-08-24T13:20:46+00:00,vmemoryfabric-osx-dev-run-7924f4f76225,100.27%,883.5MiB / 235.8GiB,0.37%,806B / 126B,0B / 12.7MB,13
2026-08-24T13:33:50+00:00,vmemoryfabric-osx-dev-run-9035fcdab076,100.11%,3.268GiB / 235.8GiB,1.39%,806B / 126B,0B / 16.9MB,13
2026-08-24T13:34:01+00:00,vmemoryfabric-osx-dev-run-9035fcdab076,99.96%,9.038GiB / 235.8GiB,3.83%,876B / 126B,0B / 424MB,13
2026-08-24T13:34:12+00:00,vmemoryfabric-osx-dev-run-9035fcdab076,100.05%,14.8GiB / 235.8GiB,6.28%,876B / 126B,0B / 424MB,13
2026-08-24T13:34:23+00:00,vmemoryfabric-osx-dev-run-9035fcdab076,99.90%,20.19GiB / 235.8GiB,8.56%,946B / 126B,0B / 424MB,13
2026-08-24T13:34:34+00:00,vmemoryfabric-osx-dev-run-9035fcdab076,100.03%,9.336GiB / 235.8GiB,3.96%,946B / 126B,0B / 424MB,13
2026-08-24T13:35:55+00:00,determined_goldwasser,99.82%,1.035GiB / 235.8GiB,0.44%,806B / 126B,0B / 89.1kB,5
2026-08-24T13:39:47+00:00,vmemoryfabric-osx-dev-run-478db8305705,100.12%,83.29MiB / 235.8GiB,0.03%,52.5MB / 1.16MB,0B / 10.4MB,2
