# fonte: https://pypi.org/pypi/vllm/{version}/json  campo info.requires_dist
# comando: vedi collect_vllm_torch_pins.py in questa directory
# generato: 2026-08-31T07:33:18Z  host: berlin-3eie

vllm             upload       requires_python  torch pin
0.6.6.post1      2024-12-27   >=3.9            torch==2.5.1
0.7.0            2025-01-27   >=3.9            torch==2.5.1
0.7.1            2025-02-01   >=3.9            torch==2.5.1
0.7.2            2025-02-06   >=3.9            torch==2.5.1
0.7.3            2025-02-20   >=3.9            torch==2.5.1
0.8.0            2025-03-18   >=3.9            torch==2.6.0
0.8.1            2025-03-19   >=3.9            torch==2.6.0
0.8.2            2025-03-25   >=3.9            torch==2.6.0
0.8.3            2025-04-06   >=3.9            torch==2.6.0
0.8.4            2025-04-15   <3.13,>=3.9      torch==2.6.0
0.8.5            2025-04-28   <3.13,>=3.9      torch==2.6.0
0.8.5.post1      2025-05-02   <3.13,>=3.9      torch==2.6.0
0.9.0            2025-05-28   <3.13,>=3.9      torch==2.7.0
0.9.0.1          2025-05-30   <3.13,>=3.9      torch==2.7.0
0.9.1            2025-06-10   <3.13,>=3.9      torch==2.7.0
0.9.2            2025-07-08   <3.13,>=3.9      torch==2.7.0
0.10.0           2025-07-25   <3.13,>=3.9      torch==2.7.1
0.10.1           2025-08-19   <3.13,>=3.9      torch==2.7.1
0.10.1.1         2025-08-20   <3.13,>=3.9      torch==2.7.1
0.10.2           2025-09-13   <3.14,>=3.9      torch==2.8.0
0.11.0           2025-10-04   <3.14,>=3.9      torch==2.8.0
0.11.1           2025-11-19   <3.14,>=3.10     torch==2.9.0
0.11.2           2025-11-20   <3.14,>=3.10     torch==2.9.0
0.12.0           2025-12-03   <3.14,>=3.10     torch==2.9.0
0.13.0           2025-12-19   <3.14,>=3.10     torch==2.9.0
0.14.0           2026-01-20   <3.14,>=3.10     torch==2.9.1
0.14.1           2026-01-24   <3.14,>=3.10     torch==2.9.1
0.15.0           2026-01-29   <3.14,>=3.10     torch==2.9.1
0.15.1           2026-02-05   <3.14,>=3.10     torch==2.9.1
0.16.0           2026-02-26   <3.14,>=3.10     torch==2.9.1
0.17.0           2026-03-07   <3.14,>=3.10     torch==2.10.0
0.17.1           2026-03-11   <3.14,>=3.10     torch==2.10.0
0.18.0           2026-03-20   <3.14,>=3.10     torch==2.10.0
0.18.1           2026-03-31   <3.14,>=3.10     torch==2.10.0
0.19.0           2026-04-03   <3.14,>=3.10     torch==2.10.0
0.19.1           2026-04-18   <3.14,>=3.10     torch==2.10.0
0.20.0           2026-04-27   <3.15,>=3.10     torch==2.11.0
0.20.1           2026-05-04   <3.15,>=3.10     torch==2.11.0
0.20.2           2026-05-10   <3.15,>=3.10     torch==2.11.0
0.21.0           2026-05-15   <3.15,>=3.10     torch==2.11.0
0.22.0           2026-05-29   <3.15,>=3.10     torch==2.11.0
0.22.1           2026-06-05   <3.15,>=3.10     torch==2.11.0
0.23.0           2026-06-15   <3.15,>=3.10     torch==2.11.0
0.24.0           2026-06-30   <3.15,>=3.10     torch==2.11.0
0.25.0           2026-07-11   <3.15,>=3.10     torch==2.11.0
0.25.1           2026-07-14   <3.15,>=3.10     torch==2.11.0
0.26.0           2026-07-25   <3.15,>=3.10     torch==2.11.0
0.27.0           2026-08-10   <3.15,>=3.10     torch==2.13.0
0.27.1           2026-08-11   <3.15,>=3.10     torch==2.13.0
0.28.0           2026-08-26   <3.15,>=3.10     torch==2.13.0
