timestamp_iso,rxpci_mb_s,txpci_mb_s
2026-08-17T14:22:25.0307389+02:00,815,1501
2026-08-17T14:22:30.2767988+02:00,818,2178
2026-08-17T14:22:35.4856882+02:00,789,2173
2026-08-17T14:22:40.6825604+02:00,860,1699
2026-08-17T14:22:45.8692206+02:00,416,2123
2026-08-17T14:22:51.0963139+02:00,413,2097
2026-08-17T14:22:56.2970781+02:00,447,2344
2026-08-17T14:23:01.4868174+02:00,434,2224
2026-08-17T14:23:06.7032899+02:00,435,2122
2026-08-17T14:23:11.8925765+02:00,412,2091
2026-08-17T14:23:17.0954023+02:00,415,1894
2026-08-17T14:23:22.2972653+02:00,410,2186
2026-08-17T14:23:27.5171649+02:00,414,2169
2026-08-17T14:23:32.6964807+02:00,413,2354
2026-08-17T14:23:37.9164353+02:00,827,2002
2026-08-17T14:23:43.1194431+02:00,419,2163
2026-08-17T14:23:48.2921354+02:00,412,2339
2026-08-17T14:23:53.4998192+02:00,638,2186
2026-08-17T14:23:58.6996252+02:00,742,2115
2026-08-17T14:24:03.9197587+02:00,826,1841
2026-08-17T14:24:09.1211251+02:00,3,891
2026-08-17T14:24:14.4045674+02:00,3,891
2026-08-17T14:24:19.5954744+02:00,1,891
2026-08-17T14:24:24.7631675+02:00,45,891
2026-08-17T14:24:30.0516121+02:00,3,864
2026-08-17T14:24:35.2441289+02:00,3,891
2026-08-17T14:24:40.4382013+02:00,3,480
2026-08-17T14:24:45.6481178+02:00,1,891
2026-08-17T14:24:50.8585287+02:00,2,891
2026-08-17T14:24:56.0300944+02:00,1,891
2026-08-17T14:25:01.2293717+02:00,1,891
2026-08-17T14:25:06.4358441+02:00,10,830
2026-08-17T14:25:11.6189106+02:00,3,564
2026-08-17T14:25:16.8246327+02:00,87,1336
2026-08-17T14:25:22.0228452+02:00,4,891
2026-08-17T14:25:27.2166987+02:00,3,890
2026-08-17T14:25:32.4436747+02:00,3,891
2026-08-17T14:25:37.6608071+02:00,3,891
2026-08-17T14:25:42.8653650+02:00,2,891
2026-08-17T14:25:48.0815530+02:00,2,891
2026-08-17T14:25:53.2606849+02:00,413,2721
2026-08-17T14:25:58.4648818+02:00,814,1784
2026-08-17T14:26:03.6945451+02:00,810,1524
2026-08-17T14:26:08.8818639+02:00,433,2327
2026-08-17T14:26:14.0910389+02:00,412,2050
2026-08-17T14:26:19.3032600+02:00,438,2098
2026-08-17T14:26:24.5033406+02:00,810,1950
2026-08-17T14:26:29.6992730+02:00,808,1711
2026-08-17T14:26:34.8921921+02:00,428,2161
2026-08-17T14:26:40.1207483+02:00,797,1914
2026-08-17T14:26:45.3046408+02:00,793,1695
2026-08-17T14:26:50.5269329+02:00,791,1659
2026-08-17T14:26:55.7168386+02:00,792,1935
2026-08-17T14:27:00.9194349+02:00,815,2326
2026-08-17T14:27:06.1193627+02:00,793,1941
2026-08-17T14:27:11.3454440+02:00,3,891
2026-08-17T14:27:16.5564593+02:00,3,732
2026-08-17T14:27:21.7727433+02:00,4,891
2026-08-17T14:27:26.9623086+02:00,2,891
2026-08-17T14:27:32.1695483+02:00,4,717
2026-08-17T14:27:37.3870774+02:00,3,567
2026-08-17T14:27:42.5780655+02:00,1,891
2026-08-17T14:27:47.7670778+02:00,3,899
2026-08-17T14:27:52.9527594+02:00,2,891
2026-08-17T14:27:58.2293939+02:00,1,891
2026-08-17T14:28:03.4247559+02:00,4,891
2026-08-17T14:28:08.6035061+02:00,3,891
2026-08-17T14:28:13.7964457+02:00,9,899
2026-08-17T14:28:19.0215262+02:00,3,891
2026-08-17T14:28:24.2464853+02:00,3,891
2026-08-17T14:28:29.4541800+02:00,3,891
2026-08-17T14:28:34.6345814+02:00,871,1924
2026-08-17T14:28:39.8353737+02:00,874,2185
2026-08-17T14:28:45.0248687+02:00,435,2172
2026-08-17T14:28:50.2398459+02:00,435,2392
2026-08-17T14:28:55.4627889+02:00,729,1658
2026-08-17T14:29:00.6623422+02:00,572,1915
2026-08-17T14:29:05.8629239+02:00,1400,1036
2026-08-17T14:29:11.0827096+02:00,815,1709
2026-08-17T14:29:16.2741128+02:00,818,2034
2026-08-17T14:29:21.4777767+02:00,819,1892
2026-08-17T14:29:26.6909331+02:00,823,1731
2026-08-17T14:29:31.9027328+02:00,826,1858
2026-08-17T14:29:37.1100100+02:00,818,1706
2026-08-17T14:29:42.3424178+02:00,818,1970
2026-08-17T14:29:47.5849926+02:00,821,1760
2026-08-17T14:29:52.7920607+02:00,816,1717
2026-08-17T14:29:57.9935751+02:00,817,1949
2026-08-17T14:30:03.2221028+02:00,818,2138
2026-08-17T14:30:08.4106374+02:00,822,1893
2026-08-17T14:30:13.6099313+02:00,696,1928
2026-08-17T14:30:18.8310951+02:00,695,1847
2026-08-17T14:30:24.0199596+02:00,697,1621
2026-08-17T14:30:29.2289918+02:00,696,1591
2026-08-17T14:30:34.4217056+02:00,704,1795
2026-08-17T14:30:39.6368737+02:00,699,1610
2026-08-17T14:30:44.8219122+02:00,698,1820
2026-08-17T14:30:50.0164864+02:00,698,1606
2026-08-17T14:30:55.2336670+02:00,697,1913
2026-08-17T14:31:00.4195893+02:00,930,2935
2026-08-17T14:31:05.6317961+02:00,697,1819
2026-08-17T14:31:10.8532058+02:00,69,689
2026-08-17T14:31:16.0647285+02:00,3,845
2026-08-17T14:31:21.2618446+02:00,2,891
2026-08-17T14:31:26.4621907+02:00,2,446
2026-08-17T14:31:31.6518524+02:00,3,806
2026-08-17T14:31:36.8728320+02:00,23,445
2026-08-17T14:31:42.1243592+02:00,41,8
2026-08-17T14:31:47.3095986+02:00,1,0
2026-08-17T14:31:52.5067682+02:00,2,0
2026-08-17T14:31:57.6896301+02:00,2,0
2026-08-17T14:32:02.9051722+02:00,3,1
2026-08-17T14:32:08.1063210+02:00,3,1
2026-08-17T14:32:13.3218343+02:00,2,1
2026-08-17T14:32:18.5383722+02:00,2,0
2026-08-17T14:32:23.7309092+02:00,1058,1539
2026-08-17T14:32:28.9328209+02:00,1070,1267
2026-08-17T14:32:34.1684986+02:00,531,1124
2026-08-17T14:32:39.3347358+02:00,536,1716
2026-08-17T14:32:44.5465338+02:00,759,1448
2026-08-17T14:32:49.7466242+02:00,764,1266
2026-08-17T14:32:54.9404398+02:00,601,2003
2026-08-17T14:33:00.1387913+02:00,533,1697
2026-08-17T14:33:05.3453230+02:00,966,1745
2026-08-17T14:33:10.5481928+02:00,839,1742
2026-08-17T14:33:15.7753263+02:00,538,2011
2026-08-17T14:33:20.9655401+02:00,533,2013
2026-08-17T14:33:26.1814428+02:00,534,2055
2026-08-17T14:33:31.4028085+02:00,768,1979
2026-08-17T14:33:36.6331032+02:00,686,1651
2026-08-17T14:33:41.8480329+02:00,1069,1397
2026-08-17T14:33:47.0832643+02:00,1124,1578
2026-08-17T14:33:52.2890570+02:00,2,0
2026-08-17T14:33:57.5046417+02:00,14,893
2026-08-17T14:34:02.7046891+02:00,3,0
2026-08-17T14:34:07.8843078+02:00,23,0
2026-08-17T14:34:13.1160123+02:00,548,2325
2026-08-17T14:34:18.3309218+02:00,1110,2226
2026-08-17T14:34:23.5400006+02:00,548,2075
2026-08-17T14:34:28.7700853+02:00,5,1
2026-08-17T14:34:34.1062940+02:00,18,891
2026-08-17T14:34:39.2925783+02:00,4,891
2026-08-17T14:34:44.4895963+02:00,3,891
2026-08-17T14:34:49.7142486+02:00,3,866
2026-08-17T14:34:54.8903759+02:00,3,891
2026-08-17T14:35:00.0676550+02:00,17,518
2026-08-17T14:35:05.2736686+02:00,3,891
2026-08-17T14:35:10.4520169+02:00,3,797
2026-08-17T14:35:15.6443232+02:00,2,892
2026-08-17T14:35:20.8517657+02:00,3,446
2026-08-17T14:35:26.0509177+02:00,1172,1480
