timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/08/12 19:38:53.827, 0 %, 0 %, 1 MiB, 24123 MiB, 22.98 W, 28, 210 MHz, 405 MHz
2026/08/12 19:38:55.838, 0 %, 0 %, 1 MiB, 24123 MiB, 22.94 W, 28, 210 MHz, 405 MHz
2026/08/12 19:38:57.838, 0 %, 0 %, 1 MiB, 24123 MiB, 22.96 W, 28, 210 MHz, 405 MHz
2026/08/12 19:38:59.839, 0 %, 0 %, 1 MiB, 24123 MiB, 23.02 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:01.839, 0 %, 0 %, 1 MiB, 24123 MiB, 23.02 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:03.840, 0 %, 0 %, 1 MiB, 24123 MiB, 23.18 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:05.841, 0 %, 0 %, 1 MiB, 24123 MiB, 23.08 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:07.842, 0 %, 0 %, 1 MiB, 24123 MiB, 22.95 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:09.842, 0 %, 0 %, 1 MiB, 24123 MiB, 23.08 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:11.843, 0 %, 0 %, 1 MiB, 24123 MiB, 23.18 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:13.843, 0 %, 0 %, 1 MiB, 24123 MiB, 23.25 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:15.844, 0 %, 0 %, 1 MiB, 24123 MiB, 23.22 W, 27, 210 MHz, 405 MHz
2026/08/12 19:39:17.844, 0 %, 0 %, 1 MiB, 24123 MiB, 23.06 W, 27, 210 MHz, 405 MHz
2026/08/12 19:39:19.845, 0 %, 0 %, 1 MiB, 24123 MiB, 23.16 W, 27, 210 MHz, 405 MHz
2026/08/12 19:39:21.849, 0 %, 0 %, 1 MiB, 24123 MiB, 23.16 W, 27, 210 MHz, 405 MHz
2026/08/12 19:39:23.850, 0 %, 0 %, 1 MiB, 24123 MiB, 23.30 W, 27, 210 MHz, 405 MHz
2026/08/12 19:39:25.850, 0 %, 0 %, 1 MiB, 24123 MiB, 23.01 W, 27, 210 MHz, 405 MHz
2026/08/12 19:39:27.851, 0 %, 0 %, 1 MiB, 24123 MiB, 23.09 W, 27, 210 MHz, 405 MHz
2026/08/12 19:39:29.851, 0 %, 0 %, 1 MiB, 24123 MiB, 23.16 W, 27, 210 MHz, 405 MHz
2026/08/12 19:39:31.852, 0 %, 0 %, 1 MiB, 24123 MiB, 23.09 W, 27, 210 MHz, 405 MHz
2026/08/12 19:39:33.852, 0 %, 0 %, 1 MiB, 24123 MiB, 23.01 W, 27, 210 MHz, 405 MHz
2026/08/12 19:39:35.853, 0 %, 0 %, 1 MiB, 24123 MiB, 23.14 W, 27, 210 MHz, 405 MHz
2026/08/12 19:39:37.853, 0 %, 0 %, 1 MiB, 24123 MiB, 42.05 W, 30, 1695 MHz, 9501 MHz
2026/08/12 19:39:39.854, 0 %, 0 %, 1 MiB, 24123 MiB, 111.38 W, 30, 1695 MHz, 9751 MHz
2026/08/12 19:39:41.854, 0 %, 0 %, 1 MiB, 24123 MiB, 28.49 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:43.855, 0 %, 0 %, 1 MiB, 24123 MiB, 23.16 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:45.856, 0 %, 0 %, 1 MiB, 24123 MiB, 23.29 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:47.856, 0 %, 0 %, 1 MiB, 24123 MiB, 23.16 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:49.857, 0 %, 0 %, 1 MiB, 24123 MiB, 22.96 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:51.857, 0 %, 0 %, 1 MiB, 24123 MiB, 23.19 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:53.858, 0 %, 0 %, 1 MiB, 24123 MiB, 22.97 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:55.858, 0 %, 0 %, 1 MiB, 24123 MiB, 23.02 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:57.859, 0 %, 0 %, 1 MiB, 24123 MiB, 22.99 W, 28, 210 MHz, 405 MHz
2026/08/12 19:39:59.859, 0 %, 0 %, 1 MiB, 24123 MiB, 23.05 W, 28, 210 MHz, 405 MHz
2026/08/12 19:40:01.860, 0 %, 0 %, 1 MiB, 24123 MiB, 22.83 W, 28, 210 MHz, 405 MHz
2026/08/12 19:40:03.860, 5 %, 0 %, 1330 MiB, 22795 MiB, 104.39 W, 30, 1695 MHz, 9501 MHz
2026/08/12 19:40:05.861, 5 %, 0 %, 1351 MiB, 22774 MiB, 110.57 W, 31, 1695 MHz, 9501 MHz
2026/08/12 19:40:07.861, 5 %, 0 %, 8912 MiB, 15213 MiB, 110.91 W, 31, 1695 MHz, 9501 MHz
2026/08/12 19:40:09.865, 0 %, 0 %, 19758 MiB, 4367 MiB, 110.57 W, 31, 1695 MHz, 9501 MHz
2026/08/12 19:40:11.865, 0 %, 0 %, 19758 MiB, 4367 MiB, 110.79 W, 32, 1695 MHz, 9501 MHz
2026/08/12 19:40:13.866, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.89 W, 32, 1695 MHz, 9501 MHz
2026/08/12 19:40:15.867, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.21 W, 32, 1695 MHz, 9501 MHz
2026/08/12 19:40:17.867, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.43 W, 33, 1695 MHz, 9501 MHz
2026/08/12 19:40:19.868, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.67 W, 33, 1695 MHz, 9501 MHz
2026/08/12 19:40:21.868, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.56 W, 33, 1695 MHz, 9501 MHz
2026/08/12 19:40:23.869, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.46 W, 34, 1695 MHz, 9501 MHz
2026/08/12 19:40:25.869, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.35 W, 34, 1695 MHz, 9501 MHz
2026/08/12 19:40:27.870, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.51 W, 34, 1695 MHz, 9501 MHz
2026/08/12 19:40:29.871, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.63 W, 35, 1695 MHz, 9501 MHz
2026/08/12 19:40:31.871, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.77 W, 35, 1695 MHz, 9501 MHz
2026/08/12 19:40:33.872, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.03 W, 35, 1695 MHz, 9501 MHz
2026/08/12 19:40:35.872, 0 %, 0 %, 19758 MiB, 4367 MiB, 111.22 W, 35, 1695 MHz, 9501 MHz
2026/08/12 19:40:37.873, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.26 W, 35, 1695 MHz, 9501 MHz
2026/08/12 19:40:39.873, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.37 W, 36, 1695 MHz, 9501 MHz
2026/08/12 19:40:41.874, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.29 W, 36, 1695 MHz, 9501 MHz
2026/08/12 19:40:43.874, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.50 W, 36, 1695 MHz, 9501 MHz
2026/08/12 19:40:45.875, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.58 W, 36, 1695 MHz, 9501 MHz
2026/08/12 19:40:47.875, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.55 W, 36, 1695 MHz, 9501 MHz
2026/08/12 19:40:49.876, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.53 W, 37, 1695 MHz, 9501 MHz
2026/08/12 19:40:51.876, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.66 W, 37, 1695 MHz, 9501 MHz
2026/08/12 19:40:53.877, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.85 W, 37, 1695 MHz, 9501 MHz
2026/08/12 19:40:55.878, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.15 W, 37, 1695 MHz, 9501 MHz
2026/08/12 19:40:57.878, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.67 W, 37, 1695 MHz, 9501 MHz
2026/08/12 19:40:59.879, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.42 W, 38, 1695 MHz, 9501 MHz
2026/08/12 19:41:01.879, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.42 W, 38, 1695 MHz, 9501 MHz
2026/08/12 19:41:03.880, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.58 W, 38, 1695 MHz, 9501 MHz
2026/08/12 19:41:05.880, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.48 W, 38, 1695 MHz, 9501 MHz
2026/08/12 19:41:07.880, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.57 W, 38, 1695 MHz, 9501 MHz
2026/08/12 19:41:09.881, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.46 W, 38, 1695 MHz, 9501 MHz
2026/08/12 19:41:11.881, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.74 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:41:13.882, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.05 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:41:15.882, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.07 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:41:17.883, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.09 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:41:19.883, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.17 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:41:21.884, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.18 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:41:23.885, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.33 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:41:25.885, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.21 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:41:27.886, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.34 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:41:29.886, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.13 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:41:31.887, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.89 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:41:33.887, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.15 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:41:35.888, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.96 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:41:37.888, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.02 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:41:39.889, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.01 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:41:41.890, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.19 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:41:43.890, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.09 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:41:45.891, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.12 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:41:47.891, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.25 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:41:49.892, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.30 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:41:51.892, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.14 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:41:53.893, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.35 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:41:55.893, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.49 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:41:57.893, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.42 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:41:59.894, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.55 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:42:01.894, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.73 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:42:03.895, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.57 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:42:05.895, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.68 W, 42, 1695 MHz, 9501 MHz
